* Partlist from file: A3660.lay6" / 2018-07-27 21:50:53
*
* All coordinates in mm
*
* Name	Value	Layer	Comment	Pos-X	Pos-Y	Rot	Package	No
*
C105	22uF	Top		31.00	43.98	R0		1
C106	22uF	Top		3.40	-5.72	R0		2
C107	22uF	Top		105.70	34.88	R0		3
C204	100nF	Top		45.52	61.75	R90	0805	4
C205	100nF	Top		78.26	71.12	R0	0805	5
C207	100nF	Top		68.86	61.63	R90	0805	6
C209	100nF	Top		-4.76	60.65	R0	0805	7
C211	100nF	Top		-8.73	73.70	R90	0805	8
C213	100nF	Top		-28.65	49.85	R180	0805	9
C400		Top		15.71	77.33	R0		10
C500	10uF	Bottom		144.74	52.55	R0	0805	11
C501	10uF	Top		115.81	64.85	R0	0805	12
C502	100nF	Bottom		109.46	73.07	R90	0805	13
C503	100nF	Bottom		107.12	73.07	R90	0805	14
C504	100nF	Top		113.47	64.85	R0	0805	15
C505	100nF	Bottom		168.75	69.65	R0	0805	16
C506	100nF	Bottom		168.75	66.79	R0	0805	17
C507	100nF	Bottom		153.23	62.91	R90	0805	18
C508	100nF	Bottom		---	---	R---	---	19
C100A	10nF	Top		44.37	29.09	R180	0805	20
C101A	100nF	Top		27.34	8.38	R180	0805	21
C101B	330nF	Top		22.26	8.38	R180	0805	22
C102A	220nF	Top		110.33	59.93	R0	0805	23
C102B	22uF	Top		112.63	37.27	R0		24
C102C	220pF	Top		152.40	32.82	R90	0805	25
C102D	220nF	Top		171.61	38.38	R180	0805	26
C102E	22uF	Top		80.17	81.20	R0		27
C102F	220pF	Top		167.08	79.93	R90	0805	28
C103A	100nF	Top		21.83	20.48	R180	0805	29
C104A	100nF	Top		24.88	8.38	R180	0805	30
C105A	100nF	Top		15.68	28.82	R180	0805	31
C200A	100nF	Top		-5.20	31.04	R0	0805	32
C201A	100nF	Top		-5.24	15.76	R0	0805	33
C202A	100nF	Top		-5.32	43.98	R0	0805	34
C203A	100nF	Top		-28.58	32.23	R0	0805	35
C206A	100nF	Top		20.88	54.37	R180	0805	36
C208A	100nF	Top		46.23	42.74	R90	0805	37
C212A	330nF	Top		12.54	43.62	R180	0805	38
C214A	330nF	Top		82.63	50.80	R0	0805	39
C215A	330nF	Top		82.87	27.82	R0	0805	40
C216A	330nF	Top		129.14	25.92	R180	0805	41
C217A	330nF	Top		82.95	11.79	R0	0805	42
C218A	330nF	Top		156.96	0.99	R90	0805	43
C219A	330nF	Top		155.29	17.54	R90	0805	44
C220A	330nF	Top		108.07	28.58	R0	0805	45
C221A	330nF	Top		108.07	10.84	R0	0805	46
C222A	330nF	Top		129.34	8.89	R180	0805	47
C400A	100nF	Top		-7.82	15.72	R0	0805	48
C401A	100nF	Top		22.38	62.43	R270	0805	49
C402A	100nF	Top		117.00	48.10	R0	0805	50
FB100	80 Ohm / 500mA	Bottom		98.66	80.72	R0		51
FB200		Top		---	---	R---	---	52
R100	1	Top		18.30	28.82	R180	0805	53
R101	22	Top	5ns Delay - POPULATE ONLY ONE!	34.69	8.42	R180	0805	54
R101	22	Top	10nS Delay - POPULATE ONLY ONE!	37.15	8.42	R180	0805	55
R102	22	Top		29.88	8.38	R180	0805	56
R103	1	Top		12.98	28.82	R180	0805	57
R104	4.7K	Bottom		88.34	80.96	R90	0805	58
R105	4.7K	Top		-3.53	73.70	R0	0805	59
R106	4.7K	Top		-6.11	73.70	R0	0805	60
R107	33	Bottom		114.14	73.06	R90	0805	61
R108	33	Bottom		116.60	66.36	R90	0805	62
R110	22	Bottom		53.77	30.64	R0	0805	63
R111	22	Bottom		58.22	30.64	R0	0805	64
R112	22	Bottom		62.66	30.64	R0	0805	65
R113	22	Bottom		67.11	30.64	R0	0805	66
R114	22	Bottom		53.77	10.36	R0	0805	67
R115	22	Bottom		58.22	10.36	R0	0805	68
R116	22	Bottom		62.66	10.36	R0	0805	69
R117	22	Bottom		67.11	10.36	R0	0805	70
R118	22	Bottom		102.15	74.18	R90	0805	71
R119	22	Bottom		97.71	74.14	R90	0805	72
R120	22	Bottom		93.26	74.14	R90	0805	73
R121	22	Bottom		88.82	74.14	R90	0805	74
R122	22	Bottom		102.15	70.33	R90	0805	75
R123	22	Bottom		97.71	70.33	R90	0805	76
R124	22	Bottom		93.26	70.33	R90	0805	77
R125	22	Bottom		88.82	70.33	R90	0805	78
R126	22	Bottom		102.19	61.28	R0	0805	79
R127	22	Bottom		97.75	61.28	R0	0805	80
R128	22	Bottom		93.30	61.28	R0	0805	81
R129	22	Bottom		88.82	61.28	R0	0805	82
R130	22	Bottom		102.19	57.39	R0	0805	83
R131	22	Bottom		97.75	57.39	R0	0805	84
R132	22	Bottom		93.30	57.39	R0	0805	85
R133	22	Bottom		88.82	57.39	R0	0805	86
