* Partlist from file: A1200.lay6" / 2018-07-27 21:13:24
*
* All coordinates in mm
*
* Name	Value	Layer	Comment	Pos-X	Pos-Y	Rot	Package	No
*
		Top		---	---	R---	---	1
		Top		---	---	R---	---	2
		Top		---	---	R---	---	3
		Top		---	---	R---	---	4
		Top		---	---	R---	---	5
		Top		---	---	R---	---	6
		Bottom		---	---	R---	---	7
		Bottom		---	---	R---	---	8
		Bottom		---	---	R---	---	9
		Bottom		---	---	R---	---	10
		Bottom		---	---	R---	---	11
	100Ohm	Top		-10.08	14.23	R90	0805	12
	100nF	Top		-12.50	14.27	R90	0805	13
	100Ohm	Top		-5.75	14.19	R90	0805	14
	100Ohm	Top		-1.47	14.15	R90	0805	15
	100nF	Top		7.20	15.88	R0	0805	16
	100nF	Top		7.20	13.81	R0	0805	17
	100nF	Top		7.20	11.71	R0	0805	18
	75Ohm	Top		15.30	15.95	R0	0805	19
	75Ohm	Top		15.30	13.89	R0	0805	20
	75Ohm	Top		15.30	11.79	R0	0805	21
	AD724	Top		---	---	R---	---	22
	10KOhm	Top		1.61	4.41	R0	0805	23
	100nF	Top		2.00	-5.48	R0	0805	24
	22uF	Top		2.14	-12.03	R0		25
	220uF	Top		---	---	R---	---	26
	75Ohm	Top		-14.53	-35.26	R90	0805	27
	100Ohm	Top		-6.55	-35.06	R90	0805	28
	100Ohm	Top		1.51	-35.06	R90	0805	29
	1N4001	Top		---	---	R---	---	30
	1N4001	Top		---	---	R---	---	31
	1N4001	Top		---	---	R---	---	32
BottomLeft		Top		-37.15	-144.82	R0		33
C3	220nF	Top		194.35	-25.06	R90	1210	34
C7	220nF	Top		164.50	17.16	R90	1210	35
C8	220nF	Top		236.30	-4.39	R90	1210	36
C13	220nF	Bottom		96.24	-9.51	R0	1210	37
C23	0.047uF	Bottom		61.95	3.83	R90	1210	38
C29	0.047uF	Top		208.00	13.99	R0	1210	39
C32	220nF	Bottom		67.35	4.15	R90	1210	40
C34	0.01uF	Top		261.88	-19.57	R0	1210	41
C43	220nF	Bottom		2.26	-89.20	R90	1206	42
C45	220nF	Bottom		2.26	-104.76	R90	1206	43
C46	220nF	Bottom		2.26	-122.22	R90	1206	44
C47	220nF	Bottom		2.58	-74.59	R90	1206	45
C199	220nF	Bottom		102.27	-88.25	R90	1206	46
C216	0.01uF	Bottom		41.31	4.27	R90	0805	47
C301	220nF	Top		129.26	-19.35	R90	1206	48
C302	220nF	Top		127.36	2.88	R90	1206	49
C303	22uF	Top		126.56	-12.26	R90		50
C304	22uF	Top		126.25	-4.33	R270		51
C305	220nF	Top		205.78	-12.36	R90	1206	52
C306	10uF	Top		210.22	-10.56	R0		53
C311	0.047uF	Bottom		189.59	-3.16	R90	0805	54
C312	0.047uF	Bottom		192.13	-3.16	R90	0805	55
C313	0.047uF	Bottom		194.67	-3.16	R90	0805	56
C314	0.047uF	Bottom		197.21	-3.16	R90	0805	57
C321	3900pF	Top		113.07	-0.30	R90	1206	58
C322	6800pF	Top		109.89	-9.39	R90	0805	59
C323	3900pF	Top		107.35	-23.16	R90	1206	60
C324	22uF	Top		82.27	20.92	R0		61
C331	3900pF	Top		121.32	2.88	R90	1206	62
C332	6800pF	Top		122.28	-18.59	R90	0805	63
C333	3900pF	Top		124.18	-24.43	R90	1206	64
C334	22uF	Top		114.02	20.28	R0		65
C349	10nF	Top		126.72	-24.94	R90	0805	66
C352	220nF	Top		279.98	-19.57	R270	0805	67
C362	220nF	Bottom		293.09	-4.74	R90	1210	68
C407	10uF	Top		40.16	15.68	R270		69
C409	100uF	Top		-19.01	-13.69	R90		70
C551	220nF	Top		201.33	22.56	R90	1206	71
C552	220nF	Top		174.98	22.56	R90	1206	72
C591	0.047uF	Top		219.43	-22.21	R90	1206	73
C591	0.01uF	Top		223.56	-31.29	R90	1206	74
C592	10nF	Bottom		188.32	22.05	R90	0805	75
C621	22pF	Bottom		82.91	-16.69	R90	0805	76
C622	22pF	Top		94.36	-18.61	R0	0805	77
C701	220nF	Bottom		-14.25	-88.25	R90	1206	78
C702	220nF	Bottom		-18.38	-91.74	R90	1206	79
C711	220nF	Top		115.61	-0.30	R90	1206	80
C800	0.01uF	Bottom		-15.84	21.73	R90	0805	81
C801	0.01uF	Bottom		-25.16	-4.62	R90	0805	82
C802	0.01uF	Bottom		-29.81	-4.62	R90	0805	83
C803	0.01uF	Bottom		-27.58	-4.62	R90	0805	84
C821	47uF	Top		-23.14	-54.97	R0		85
C822	47uF	Top		226.26	-22.42	R270		86
C0A	220nF	Bottom		115.61	-140.32	R90	1206	87
C0B	47nF	Bottom		91.80	-119.04	R90	1206	88
C0C	220nF	Bottom		91.80	-126.03	R90	1206	89
C0D	47nF	Bottom		102.27	-140.00	R90	1206	90
C16A	220nF	Bottom		160.38	-19.98	R90	1206	91
C16B	220nF	Bottom		134.98	-18.08	R90	1206	92
C17A	220nF	Top		155.83	-61.79	R0	1206	93
C17B	220nF	Top		134.98	-59.04	R90	1206	94
C18A	220nF	Bottom		147.36	-6.33	R90	1206	95
C18B	220nF	Bottom		141.01	-6.33	R0	1206	96
C19A	220nF	Bottom		159.74	-39.67	R90	1206	97
C19B	220nF	Bottom		157.20	-39.67	R90	1206	98
C1A	220nF	Top		136.88	-132.06	R90	1206	99
C1B	47nF	Top		175.52	-140.22	R0	1206	100
C1C	220nF	Top		166.09	-110.15	R0	1206	101
C1D	47nF	Top		139.42	-132.06	R90	1206	102
C20A	220nF	Top		122.81	-46.87	R0	1206	103
C20B	0.047uF	Bottom		79.73	-62.53	R90	1206	104
C20C	220nF	Top		78.46	-31.41	R90	1206	105
C20D	0.047uF	Bottom		98.46	-68.56	R90	1206	106
C28A	47nF	Top		217.21	-4.43	R90	1206	107
C28B	47nF	Top		217.84	-11.09	R90	1206	108
C2A	220nF	Bottom		38.14	-136.51	R90	1206	109
C2B	220nF	Bottom		70.52	-113.33	R90	1206	110
C2X	330nF	Bottom		66.40	-113.33	R90	1206	111
C30A	0.047uF	Bottom		36.87	-1.57	R90	1206	112
C30B	0.047uF	Bottom		49.89	2.88	R90	1206	113
C30C	0.47uF	Bottom		43.56	9.88	R90	1206	114
C30D	0.47uF	Bottom		49.59	9.56	R90	1206	115
